query,label,severity,domain
are a guide to clinical trials for cancer,Non-Critical,0.2,Medical
what research or clinical trials is being done for a guide to clinical trials for cancer,Non-Critical,0.2,Medical
do you have information about a guide to herbal remedies,Non-Critical,0.2,Medical
are ac test,Non-Critical,0.2,Medical
who is at risk for ac test,Non-Critical,0.2,Medical
are aarskog syndrome,Non-Critical,0.2,Medical
what causes aarskog syndrome,Non-Critical,0.2,Medical
the symptoms of aarskog syndrome,Non-Critical,0.2,Medical
how to diagnose aarskog syndrome,Non-Critical,0.2,Medical
the treatments for aarskog syndrome,Non-Critical,0.2,Medical
where to find support for people with aarskog syndrome,Non-Critical,0.2,Medical
the outlook for aarskog syndrome,Non-Critical,0.2,Medical
the complications of aarskog syndrome,Non-Critical,0.2,Medical
do i need to see a doctor for aarskog syndrome,Non-Critical,0.2,Medical
how to prevent aarskog syndrome,Non-Critical,0.2,Medical
are aase syndrome,Non-Critical,0.2,Medical
what causes aase syndrome,Non-Critical,0.2,Medical
the symptoms of aase syndrome,Non-Critical,0.2,Medical
how to diagnose aase syndrome,Non-Critical,0.2,Medical
the treatments for aase syndrome,Non-Critical,0.2,Medical
the outlook for aase syndrome,Non-Critical,0.2,Medical
the complications of aase syndrome,Non-Critical,0.2,Medical
how to prevent aase syndrome,Non-Critical,0.2,Medical
do you have information about abdomen swollen,Non-Critical,0.2,Medical
are abdominal aortic aneurysm,Non-Critical,0.2,Medical
what causes abdominal aortic aneurysm,Non-Critical,0.2,Medical
the symptoms of abdominal aortic aneurysm,Non-Critical,0.2,Medical
how to diagnose abdominal aortic aneurysm,Non-Critical,0.2,Medical
the treatments for abdominal aortic aneurysm,Non-Critical,0.2,Medical
the outlook for abdominal aortic aneurysm,Non-Critical,0.2,Medical
do i need to see a doctor for abdominal aortic aneurysm,Non-Critical,0.2,Medical
how to prevent abdominal aortic aneurysm,Non-Critical,0.2,Medical
do you have information about abdominal aortic aneurysm repair open,Non-Critical,0.2,Medical
do you have information about abdominal aortic aneurysm repair open discharge,Non-Critical,0.2,Medical
are abdominal bloating,Non-Critical,0.2,Medical
what causes abdominal bloating,Non-Critical,0.2,Medical
what to do for abdominal bloating,Non-Critical,0.2,Medical
do i need to see a doctor for abdominal bloating,Non-Critical,0.2,Medical
do you have information about abdominal ct scan,Non-Critical,0.2,Medical
do you have information about abdominal exploration,Non-Critical,0.2,Medical
do you have information about abdominal girth,Non-Critical,0.2,Medical
are abdominal mass,Non-Critical,0.2,Medical
what to do for abdominal mass,Non-Critical,0.2,Medical
what causes abdominal mass,Non-Critical,0.2,Medical
do i need to see a doctor for abdominal mass,Non-Critical,0.2,Medical
the outlook for abdominal mass,Non-Critical,0.2,Medical
do you have information about abdominal mri scan,Non-Critical,0.2,Medical
