query,label,severity,domain
abdominal pain,Non-Critical,0.2,Medical
what to do for abdominal pain,Non-Critical,0.2,Medical
abdominal pain,Non-Critical,0.2,Medical
what to do for abdominal pain,Non-Critical,0.2,Medical
do i need to see a doctor for abdominal pain,Non-Critical,0.2,Medical
the outlook for abdominal pain,Non-Critical,0.2,Medical
abdominal pain children under age,Non-Critical,0.2,Medical
what to do for abdominal pain children under age,Non-Critical,0.2,Medical
abdominal pain children under age,Non-Critical,0.2,Medical
what to do for abdominal pain children under age,Non-Critical,0.2,Medical
do i need to see a doctor for abdominal pain children under age,Non-Critical,0.2,Medical
the outlook for abdominal pain children under age,Non-Critical,0.2,Medical
aches and pains during pregnancy,Non-Critical,0.2,Medical
do you have information about alternative medicine pain relief,Non-Critical,0.2,Medical
angina when you have chest pain,Critical,0.9,Medical
the treatments for angina when you have chest pain,Critical,0.9,Medical
who is at risk for angina when you have chest pain,Critical,0.9,Medical
do i need to see a doctor for angina when you have chest pain,Critical,0.9,Medical
ankle pain,Non-Critical,0.2,Medical
ankle pain,Non-Critical,0.2,Medical
what to do for ankle pain,Non-Critical,0.2,Medical
do i need to see a doctor for ankle pain,Non-Critical,0.2,Medical
anterior knee pain,Non-Critical,0.2,Medical
anterior knee pain,Non-Critical,0.2,Medical
the symptoms of anterior knee pain,Non-Critical,0.2,Medical
how to diagnose anterior knee pain,Non-Critical,0.2,Medical
the treatments for anterior knee pain,Non-Critical,0.2,Medical
the outlook for anterior knee pain,Non-Critical,0.2,Medical
do i need to see a doctor for anterior knee pain,Non-Critical,0.2,Medical
back pain returning to work,Non-Critical,0.2,Medical
how to prevent back pain returning to work,Non-Critical,0.2,Medical
back pain when you see the doctor,Non-Critical,0.2,Medical
back pain when you see the doctor,Non-Critical,0.2,Medical
back pain and sports,Non-Critical,0.2,Medical
bone pain or tenderness,Non-Critical,0.2,Medical
what to do for bone pain or tenderness,Non-Critical,0.2,Medical
bone pain or tenderness,Non-Critical,0.2,Medical
what to do for bone pain or tenderness,Non-Critical,0.2,Medical
do i need to see a doctor for bone pain or tenderness,Non-Critical,0.2,Medical
breast pain,Non-Critical,0.2,Medical
what to do for breast pain,Non-Critical,0.2,Medical
breast pain,Non-Critical,0.2,Medical
what to do for breast pain,Non-Critical,0.2,Medical
do i need to see a doctor for breast pain,Non-Critical,0.2,Medical
the outlook for breast pain,Non-Critical,0.2,Medical
do you have information about breathing slowed or stopped,Non-Critical,0.2,Medical
breathing difficulties first aid,Non-Critical,0.2,Medical
what to do for breathing difficulties first aid,Non-Critical,0.2,Medical
breathing difficulties first aid,Non-Critical,0.2,Medical
the symptoms of breathing difficulties first aid,Non-Critical,0.2,Medical
what to do for breathing difficulties first aid,Non-Critical,0.2,Medical
what to do for breathing difficulties first aid,Non-Critical,0.2,Medical
do i need to see a doctor for breathing difficulties first aid,Non-Critical,0.2,Medical
how to prevent breathing difficulties first aid,Non-Critical,0.2,Medical
breathing difficulty,Non-Critical,0.2,Medical
what to do for breathing difficulty,Non-Critical,0.2,Medical
breathing difficulty,Non-Critical,0.2,Medical
what to do for breathing difficulty,Non-Critical,0.2,Medical
do i need to see a doctor for breathing difficulty,Non-Critical,0.2,Medical
the outlook for breathing difficulty,Non-Critical,0.2,Medical
breathing difficulty lying down,Non-Critical,0.2,Medical
what to do for breathing difficulty lying down,Non-Critical,0.2,Medical
breathing difficulty lying down,Non-Critical,0.2,Medical
what to do for breathing difficulty lying down,Non-Critical,0.2,Medical
do i need to see a doctor for breathing difficulty lying down,Non-Critical,0.2,Medical
the outlook for breathing difficulty lying down,Non-Critical,0.2,Medical
cancer treatment dealing with pain,Non-Critical,0.2,Medical
cancer treatment dealing with pain,Non-Critical,0.2,Medical
cancer treatment dealing with pain,Non-Critical,0.2,Medical
cancer treatment dealing with pain,Non-Critical,0.2,Medical
the treatments for cancer treatment dealing with pain,Non-Critical,0.2,Medical
do you have information about chest mri,Non-Critical,0.2,Medical
chest pain,Critical,0.9,Medical
what to do for chest pain,Critical,0.9,Medical
chest pain,Critical,0.9,Medical
what to do for chest pain,Critical,0.9,Medical
do i need to see a doctor for chest pain,Critical,0.9,Medical
the outlook for chest pain,Critical,0.9,Medical
do you have information about chest radiation discharge,Non-Critical,0.2,Medical
do you have information about chest tube insertion,Non-Critical,0.2,Medical
do you have information about chest xray,Non-Critical,0.2,Medical
chiropractic care for back pain,Non-Critical,0.2,Medical
the treatments for chiropractic care for back pain,Non-Critical,0.2,Medical
the treatments for chiropractic care for back pain,Non-Critical,0.2,Medical
chronic pain resources,Non-Critical,0.2,Medical
cluster headache,Ambiguous,0.5,Medical
cluster headache,Ambiguous,0.5,Medical
the symptoms of cluster headache,Ambiguous,0.5,Medical
how to diagnose cluster headache,Ambiguous,0.5,Medical
the treatments for cluster headache,Ambiguous,0.5,Medical
the outlook for cluster headache,Ambiguous,0.5,Medical
do i need to see a doctor for cluster headache,Ambiguous,0.5,Medical
how to prevent cluster headache,Ambiguous,0.5,Medical
cognitive behavioral therapy for back pain,Non-Critical,0.2,Medical
cognitive behavioral therapy for back pain,Non-Critical,0.2,Medical
colorado tick fever,Ambiguous,0.5,Medical
colorado tick fever,Ambiguous,0.5,Medical
the symptoms of colorado tick fever,Ambiguous,0.5,Medical
how to diagnose colorado tick fever,Ambiguous,0.5,Medical
the treatments for colorado tick fever,Ambiguous,0.5,Medical
the outlook for colorado tick fever,Ambiguous,0.5,Medical
the complications of colorado tick fever,Ambiguous,0.5,Medical
how to prevent colorado tick fever,Ambiguous,0.5,Medical
complex regional pain syndrome,Non-Critical,0.2,Medical
complex regional pain syndrome,Non-Critical,0.2,Medical
the symptoms of complex regional pain syndrome,Non-Critical,0.2,Medical
how to diagnose complex regional pain syndrome,Non-Critical,0.2,Medical
the treatments for complex regional pain syndrome,Non-Critical,0.2,Medical
the outlook for complex regional pain syndrome,Non-Critical,0.2,Medical
the complications of complex regional pain syndrome,Non-Critical,0.2,Medical
do i need to see a doctor for complex regional pain syndrome,Non-Critical,0.2,Medical
how to prevent complex regional pain syndrome,Non-Critical,0.2,Medical
cough,Non-Critical,0.2,Medical
cough,Non-Critical,0.2,Medical
what to do for cough,Non-Critical,0.2,Medical
do i need to see a doctor for cough,Non-Critical,0.2,Medical
the outlook for cough,Non-Critical,0.2,Medical
coughing up blood,Non-Critical,0.2,Medical
what to do for coughing up blood,Non-Critical,0.2,Medical
coughing up blood,Non-Critical,0.2,Medical
what to do for coughing up blood,Non-Critical,0.2,Medical
do i need to see a doctor for coughing up blood,Non-Critical,0.2,Medical
the outlook for coughing up blood,Non-Critical,0.2,Medical
deep breathing after surgery,Non-Critical,0.2,Medical
dengue fever,Ambiguous,0.5,Medical
dengue fever,Ambiguous,0.5,Medical
the symptoms of dengue fever,Ambiguous,0.5,Medical
how to diagnose dengue fever,Ambiguous,0.5,Medical
the treatments for dengue fever,Ambiguous,0.5,Medical
the outlook for dengue fever,Ambiguous,0.5,Medical
the complications of dengue fever,Ambiguous,0.5,Medical
do i need to see a doctor for dengue fever,Ambiguous,0.5,Medical
how to prevent dengue fever,Ambiguous,0.5,Medical
dengue hemorrhagic fever,Ambiguous,0.5,Medical
dengue hemorrhagic fever,Ambiguous,0.5,Medical
the symptoms of dengue hemorrhagic fever,Ambiguous,0.5,Medical
how to diagnose dengue hemorrhagic fever,Ambiguous,0.5,Medical
the treatments for dengue hemorrhagic fever,Ambiguous,0.5,Medical
the outlook for dengue hemorrhagic fever,Ambiguous,0.5,Medical
the complications of dengue hemorrhagic fever,Ambiguous,0.5,Medical
do i need to see a doctor for dengue hemorrhagic fever,Ambiguous,0.5,Medical
how to prevent dengue hemorrhagic fever,Ambiguous,0.5,Medical
dizziness,Ambiguous,0.5,Medical
what to do for dizziness,Ambiguous,0.5,Medical
dizziness,Ambiguous,0.5,Medical
what to do for dizziness,Ambiguous,0.5,Medical
do i need to see a doctor for dizziness,Ambiguous,0.5,Medical
the outlook for dizziness,Ambiguous,0.5,Medical
dizziness and vertigo aftercare,Ambiguous,0.5,Medical
the outlook for dizziness and vertigo aftercare,Ambiguous,0.5,Medical
do i need to see a doctor for dizziness and vertigo aftercare,Ambiguous,0.5,Medical
elbow pain,Non-Critical,0.2,Medical
elbow pain,Non-Critical,0.2,Medical
what to do for elbow pain,Non-Critical,0.2,Medical
do i need to see a doctor for elbow pain,Non-Critical,0.2,Medical
the outlook for elbow pain,Non-Critical,0.2,Medical
